Dataset        ,Model             ,Label_Fraction_Percent  ,Teacher_Threshold ,Seed  ,Epochs  ,Learning_Rate  ,Num_MFs   ,Max_Rules ,ZeroG  ,Num_Labeled   ,Num_Pseudo_Labeled  ,Avg_Teacher_Confidence  ,RF_Teacher_Accuracy_Percent ,SSL_Model_Accuracy_Percent  
Iris           ,HybridANFIS       ,10                      ,0.90              ,42    ,200     ,5.0e-03        ,4         ,1000      ,N/A    ,12            ,52                  ,0.8413                  ,96.67                       ,93.33                       
Iris           ,HybridANFIS       ,20                      ,0.90              ,42    ,200     ,5.0e-03        ,4         ,1000      ,N/A    ,24            ,73                  ,0.9017                  ,96.67                       ,93.33                       
Iris           ,HybridANFIS       ,30                      ,0.90              ,42    ,200     ,5.0e-03        ,4         ,1000      ,N/A    ,36            ,65                  ,0.9192                  ,96.67                       ,96.67                       
Iris           ,HybridANFIS       ,50                      ,0.90              ,42    ,200     ,5.0e-03        ,4         ,1000      ,N/A    ,60            ,44                  ,0.9179                  ,100.00                      ,96.67                       
Iris           ,POPFNN            ,10                      ,0.90              ,42    ,300     ,5.0e-04        ,4         ,N/A       ,N/A    ,12            ,52                  ,0.8413                  ,96.67                       ,96.67                       
Iris           ,POPFNN            ,20                      ,0.90              ,42    ,300     ,5.0e-04        ,4         ,N/A       ,N/A    ,24            ,73                  ,0.9017                  ,96.67                       ,100.00                      
Iris           ,POPFNN            ,30                      ,0.90              ,42    ,300     ,5.0e-04        ,4         ,N/A       ,N/A    ,36            ,65                  ,0.9192                  ,96.67                       ,100.00                      
Iris           ,POPFNN            ,50                      ,0.90              ,42    ,300     ,5.0e-04        ,4         ,N/A       ,N/A    ,60            ,44                  ,0.9179                  ,100.00                      ,96.67                       
Iris           ,NoHybridANFIS     ,10                      ,0.90              ,42    ,200     ,5.0e-03        ,4         ,1000      ,False  ,12            ,52                  ,0.8413                  ,96.67                       ,96.67                       
Iris           ,NoHybridANFIS     ,20                      ,0.90              ,42    ,200     ,5.0e-03        ,4         ,1000      ,False  ,24            ,73                  ,0.9017                  ,96.67                       ,100.00                      
Iris           ,NoHybridANFIS     ,30                      ,0.90              ,42    ,200     ,5.0e-03        ,4         ,1000      ,False  ,36            ,65                  ,0.9192                  ,96.67                       ,100.00                      
Iris           ,NoHybridANFIS     ,50                      ,0.90              ,42    ,200     ,5.0e-03        ,4         ,1000      ,False  ,60            ,44                  ,0.9179                  ,100.00                      ,96.67                       
K_Chess        ,HybridANFIS       ,10                      ,0.90              ,42    ,200     ,5.0e-03        ,4         ,1000      ,N/A    ,1963          ,63                  ,0.4760                  ,53.67                       ,40.18                       
K_Chess        ,HybridANFIS       ,20                      ,0.90              ,42    ,200     ,5.0e-03        ,4         ,1000      ,N/A    ,3927          ,187                 ,0.5129                  ,61.46                       ,39.37                       
K_Chess        ,HybridANFIS       ,30                      ,0.90              ,42    ,200     ,5.0e-03        ,4         ,1000      ,N/A    ,5891          ,350                 ,0.5439                  ,66.90                       ,38.27                       
K_Chess        ,HybridANFIS       ,50                      ,0.90              ,42    ,200     ,5.0e-03        ,4         ,1000      ,N/A    ,9819          ,484                 ,0.5819                  ,73.15                       ,40.41                       
K_Chess        ,POPFNN            ,10                      ,0.90              ,42    ,300     ,5.0e-04        ,4         ,N/A       ,N/A    ,1963          ,63                  ,0.4760                  ,53.67                       ,42.09                       
K_Chess        ,POPFNN            ,20                      ,0.90              ,42    ,300     ,5.0e-04        ,4         ,N/A       ,N/A    ,3927          ,187                 ,0.5129                  ,61.46                       ,42.15                       
K_Chess        ,POPFNN            ,30                      ,0.90              ,42    ,300     ,5.0e-04        ,4         ,N/A       ,N/A    ,5891          ,350                 ,0.5439                  ,66.90                       ,44.28                       
K_Chess        ,POPFNN            ,50                      ,0.90              ,42    ,300     ,5.0e-04        ,4         ,N/A       ,N/A    ,9819          ,484                 ,0.5819                  ,73.15                       ,48.26                       
K_Chess        ,NoHybridANFIS     ,10                      ,0.90              ,42    ,200     ,5.0e-03        ,4         ,1000      ,False  ,1963          ,63                  ,0.4760                  ,53.67                       ,42.54                       
K_Chess        ,NoHybridANFIS     ,20                      ,0.90              ,42    ,200     ,5.0e-03        ,4         ,1000      ,False  ,3927          ,187                 ,0.5129                  ,61.46                       ,43.36                       
K_Chess        ,NoHybridANFIS     ,30                      ,0.90              ,42    ,200     ,5.0e-03        ,4         ,1000      ,False  ,5891          ,350                 ,0.5439                  ,66.90                       ,45.00                       
K_Chess        ,NoHybridANFIS     ,50                      ,0.90              ,42    ,200     ,5.0e-03        ,4         ,1000      ,False  ,9819          ,484                 ,0.5819                  ,73.15                       ,44.99                       
Heart          ,HybridANFIS       ,10                      ,0.90              ,42    ,200     ,5.0e-03        ,4         ,1000      ,N/A    ,21            ,29                  ,0.7555                  ,79.12                       ,71.43                       
Heart          ,HybridANFIS       ,20                      ,0.90              ,42    ,200     ,5.0e-03        ,4         ,1000      ,N/A    ,42            ,38                  ,0.7763                  ,83.52                       ,78.02                       
Heart          ,HybridANFIS       ,30                      ,0.90              ,42    ,200     ,5.0e-03        ,4         ,1000      ,N/A    ,63            ,27                  ,0.7593                  ,83.52                       ,75.82                       
Heart          ,HybridANFIS       ,50                      ,0.90              ,42    ,200     ,5.0e-03        ,4         ,1000      ,N/A    ,106           ,19                  ,0.7611                  ,86.81                       ,71.43                       
Heart          ,POPFNN            ,10                      ,0.90              ,42    ,300     ,5.0e-04        ,4         ,N/A       ,N/A    ,21            ,29                  ,0.7555                  ,79.12                       ,69.23                       
Heart          ,POPFNN            ,20                      ,0.90              ,42    ,300     ,5.0e-04        ,4         ,N/A       ,N/A    ,42            ,38                  ,0.7763                  ,83.52                       ,72.53                       
Heart          ,POPFNN            ,30                      ,0.90              ,42    ,300     ,5.0e-04        ,4         ,N/A       ,N/A    ,63            ,27                  ,0.7593                  ,83.52                       ,73.63                       
Heart          ,POPFNN            ,50                      ,0.90              ,42    ,300     ,5.0e-04        ,4         ,N/A       ,N/A    ,106           ,19                  ,0.7611                  ,86.81                       ,80.22                       
Heart          ,NoHybridANFIS     ,10                      ,0.90              ,42    ,200     ,5.0e-03        ,4         ,1000      ,False  ,21            ,29                  ,0.7555                  ,79.12                       ,75.82                       
Heart          ,NoHybridANFIS     ,20                      ,0.90              ,42    ,200     ,5.0e-03        ,4         ,1000      ,False  ,42            ,38                  ,0.7763                  ,83.52                       ,79.12                       
Heart          ,NoHybridANFIS     ,30                      ,0.90              ,42    ,200     ,5.0e-03        ,4         ,1000      ,False  ,63            ,27                  ,0.7593                  ,83.52                       ,76.92                       
Heart          ,NoHybridANFIS     ,50                      ,0.90              ,42    ,200     ,5.0e-03        ,4         ,1000      ,False  ,106           ,19                  ,0.7611                  ,86.81                       ,75.82                       
