Dataset        ,Model          ,SSL_Method  ,Label_Fraction_Percent  ,SSL_Threshold  ,Seed  ,Epochs  ,Learning_Rate  ,Num_MFs   ,Max_Rules ,ZeroG  ,Num_Labeled   ,Num_Pseudo_Labeled  ,Avg_Pseudo_Confidence   ,Teacher_Accuracy_Percent    ,Student_Accuracy_Percent    
Iris           ,HybridANFIS    ,teacher     ,10                      ,0.90           ,42    ,200     ,5.0e-03        ,4         ,1000      ,N/A    ,12            ,52                  ,0.8413                  ,96.67                       ,93.33                       
Iris           ,HybridANFIS    ,teacher     ,20                      ,0.90           ,42    ,200     ,5.0e-03        ,4         ,1000      ,N/A    ,24            ,73                  ,0.9017                  ,96.67                       ,93.33                       
Iris           ,HybridANFIS    ,teacher     ,50                      ,0.90           ,42    ,200     ,5.0e-03        ,4         ,1000      ,N/A    ,60            ,44                  ,0.9179                  ,100.00                      ,96.67                       
Iris           ,POPFNN         ,teacher     ,10                      ,0.90           ,42    ,300     ,5.0e-04        ,4         ,N/A       ,N/A    ,12            ,52                  ,0.8413                  ,96.67                       ,96.67                       
Iris           ,POPFNN         ,teacher     ,20                      ,0.90           ,42    ,300     ,5.0e-04        ,4         ,N/A       ,N/A    ,24            ,73                  ,0.9017                  ,96.67                       ,100.00                      
Iris           ,POPFNN         ,teacher     ,50                      ,0.90           ,42    ,300     ,5.0e-04        ,4         ,N/A       ,N/A    ,60            ,44                  ,0.9179                  ,100.00                      ,100.00                      
Iris           ,HybridANFIS    ,rule_based  ,10                      ,R:0.9|F:0.5    ,42    ,200     ,5.0e-03        ,4         ,1000      ,N/A    ,12            ,0                   ,N/A                     ,N/A                         ,90.00                       
Iris           ,HybridANFIS    ,rule_based  ,20                      ,R:0.9|F:0.5    ,42    ,200     ,5.0e-03        ,4         ,1000      ,N/A    ,24            ,0                   ,N/A                     ,N/A                         ,96.67                       
Iris           ,HybridANFIS    ,rule_based  ,50                      ,R:0.9|F:0.5    ,42    ,200     ,5.0e-03        ,4         ,1000      ,N/A    ,60            ,0                   ,N/A                     ,N/A                         ,100.00                      
Iris           ,POPFNN         ,rule_based  ,10                      ,R:0.9|F:N/A    ,42    ,300     ,5.0e-04        ,4         ,N/A       ,N/A    ,12            ,0                   ,N/A                     ,N/A                         ,96.67                       
Iris           ,POPFNN         ,rule_based  ,20                      ,R:0.9|F:N/A    ,42    ,300     ,5.0e-04        ,4         ,N/A       ,N/A    ,24            ,0                   ,N/A                     ,N/A                         ,100.00                      
Iris           ,POPFNN         ,rule_based  ,50                      ,R:0.9|F:N/A    ,42    ,300     ,5.0e-04        ,4         ,N/A       ,N/A    ,60            ,0                   ,N/A                     ,N/A                         ,100.00                      
K_Chess        ,HybridANFIS    ,teacher     ,10                      ,0.90           ,42    ,200     ,5.0e-03        ,4         ,1000      ,N/A    ,1963          ,63                  ,0.4760                  ,53.67                       ,40.17                       
K_Chess        ,HybridANFIS    ,teacher     ,20                      ,0.90           ,42    ,200     ,5.0e-03        ,4         ,1000      ,N/A    ,3927          ,187                 ,0.5129                  ,61.46                       ,39.37                       
K_Chess        ,HybridANFIS    ,teacher     ,50                      ,0.90           ,42    ,200     ,5.0e-03        ,4         ,1000      ,N/A    ,9819          ,484                 ,0.5819                  ,73.15                       ,40.34                       
K_Chess        ,POPFNN         ,teacher     ,10                      ,0.90           ,42    ,300     ,5.0e-04        ,4         ,N/A       ,N/A    ,1963          ,63                  ,0.4760                  ,53.67                       ,42.09                       
K_Chess        ,POPFNN         ,teacher     ,20                      ,0.90           ,42    ,300     ,5.0e-04        ,4         ,N/A       ,N/A    ,3927          ,187                 ,0.5129                  ,61.46                       ,42.15                       
K_Chess        ,POPFNN         ,teacher     ,50                      ,0.90           ,42    ,300     ,5.0e-04        ,4         ,N/A       ,N/A    ,9819          ,484                 ,0.5819                  ,73.15                       ,45.18                       
K_Chess        ,HybridANFIS    ,rule_based  ,10                      ,R:0.9|F:0.5    ,42    ,200     ,5.0e-03        ,4         ,1000      ,N/A    ,1963          ,0                   ,N/A                     ,N/A                         ,41.10                       
K_Chess        ,HybridANFIS    ,rule_based  ,20                      ,R:0.9|F:0.5    ,42    ,200     ,5.0e-03        ,4         ,1000      ,N/A    ,3927          ,0                   ,N/A                     ,N/A                         ,41.24                       
